model_path,HW,CIN,COUT,KERNEL_SIZE,STRIDES,feature_0,feature_1,latency
dwconv-bn-relu_lut_ON071A.onnx,104,96,96,3,2,2.59584,0.00096,0.344838
dwconv-bn-relu_lut_4NATOW.onnx,104,128,128,3,1,13.84448,0.00128,1.4886439999999999
dwconv-bn-relu_lut_N2UDLC.onnx,104,128,128,3,2,3.46112,0.00128,0.41798799999999997
dwconv-bn-relu_lut_92AYKI.onnx,104,64,64,5,1,17.997824,0.001664,1.7743
dwconv-bn-relu_lut_SE4H66.onnx,104,64,64,5,2,4.499456,0.001664,0.524838
dwconv-bn-relu_lut_201K6L.onnx,104,96,96,5,1,26.996736,0.002496,2.488456
dwconv-bn-relu_lut_FLOJ14.onnx,104,96,96,5,2,6.749184,0.002496,0.6437120000000001
dwconv-bn-relu_lut_OOVCT6.onnx,104,128,128,5,1,35.995648,0.003328,3.2569540000000003
dwconv-bn-relu_lut_LSOXIY.onnx,104,128,128,5,2,8.998912,0.003328,0.78758
dwconv-bn-relu_lut_W9TT30.onnx,104,192,192,3,1,20.76672,0.00192,2.00446
dwconv-bn-relu_lut_G2EQYD.onnx,104,192,192,3,2,5.19168,0.00192,0.595738
dwconv-bn-relu_lut_NWC7IT.onnx,104,256,256,3,1,27.68896,0.00256,2.6735879999999996
dwconv-bn-relu_lut_BPFHJ1.onnx,104,256,256,3,2,6.92224,0.00256,0.82002
dwconv-bn-relu_lut_709CZ6.onnx,104,192,192,5,1,53.993472,0.004992,4.492934
dwconv-bn-relu_lut_M24819.onnx,104,192,192,5,2,13.498368,0.004992,1.177198
dwconv-bn-relu_lut_FUZHQG.onnx,104,256,256,5,1,71.991296,0.006656,5.587034
dwconv-bn-relu_lut_XZJIU0.onnx,104,256,256,5,2,17.997824,0.006656,1.578914
dwconv-bn-relu_lut_A9EPZH.onnx,100,64,64,3,1,6.4,0.00064,0.783864
dwconv-bn-relu_lut_LRSLKI.onnx,100,64,64,3,2,1.6,0.00064,0.268466
dwconv-bn-relu_lut_OAJMZP.onnx,100,96,96,3,1,9.6,0.00096,1.1207120000000002
dwconv-bn-relu_lut_ZVKL8P.onnx,100,96,96,3,2,2.4,0.00096,0.324268
dwconv-bn-relu_lut_6RZFT6.onnx,100,128,128,3,1,12.8,0.00128,1.354364
dwconv-bn-relu_lut_U05BGB.onnx,100,128,128,3,2,3.2,0.00128,0.40785400000000005
dwconv-bn-relu_lut_1T6KRC.onnx,100,64,64,5,1,16.64,0.001664,1.686842
dwconv-bn-relu_lut_Z4LXT4.onnx,100,64,64,5,2,4.16,0.001664,0.50498
dwconv-bn-relu_lut_MML831.onnx,100,96,96,5,1,24.96,0.002496,2.473096
dwconv-bn-relu_lut_AYLDCI.onnx,100,96,96,5,2,6.24,0.002496,0.606794
dwconv-bn-relu_lut_I7HI8W.onnx,100,128,128,5,1,33.28,0.003328,2.867304
dwconv-bn-relu_lut_N0S4KA.onnx,100,128,128,5,2,8.32,0.003328,0.7777160000000001
dwconv-bn-relu_lut_F8PBSI.onnx,100,192,192,3,1,19.2,0.00192,1.911746
dwconv-bn-relu_lut_E4T74H.onnx,100,192,192,3,2,4.8,0.00192,0.561362
dwconv-bn-relu_lut_HTTSNZ.onnx,100,256,256,3,1,25.6,0.00256,2.4720060000000004
dwconv-bn-relu_lut_GYPXQQ.onnx,100,256,256,3,2,6.4,0.00256,0.82383
dwconv-bn-relu_lut_K8MS4B.onnx,100,192,192,5,1,49.92,0.004992,3.983152
dwconv-bn-relu_lut_382LYR.onnx,100,192,192,5,2,12.48,0.004992,1.112802
dwconv-bn-relu_lut_4G11XC.onnx,100,256,256,5,1,66.56,0.006656,5.176558
dwconv-bn-relu_lut_NOGWY0.onnx,100,256,256,5,2,16.64,0.006656,1.408744
dwconv-bn-relu_lut_JQZ6NR.onnx,96,64,64,3,1,5.89824,0.00064,0.70774
dwconv-bn-relu_lut_ZMBAZJ.onnx,96,64,64,3,2,1.47456,0.00064,0.238152
dwconv-bn-relu_lut_BJI8CX.onnx,96,96,96,3,1,8.84736,0.00096,1.025894
dwconv-bn-relu_lut_3V8Z03.onnx,96,96,96,3,2,2.21184,0.00096,0.33896
dwconv-bn-relu_lut_OKYXB0.onnx,96,128,128,3,1,11.79648,0.00128,1.25556
dwconv-bn-relu_lut_6SCC8K.onnx,96,128,128,3,2,2.94912,0.00128,0.361986
dwconv-bn-relu_lut_ZN42BE.onnx,96,64,64,5,1,15.335424,0.001664,1.48618
dwconv-bn-relu_lut_ACLLX8.onnx,96,64,64,5,2,3.833856,0.001664,0.45842199999999994
dwconv-bn-relu_lut_8HODMX.onnx,96,96,96,5,1,23.003136,0.002496,2.11629
dwconv-bn-relu_lut_UWSG61.onnx,96,96,96,5,2,5.750784,0.002496,0.57734
dwconv-bn-relu_lut_2A5HYB.onnx,96,128,128,5,1,30.670848,0.003328,2.6395239999999998
dwconv-bn-relu_lut_GILPYX.onnx,96,128,128,5,2,7.667712,0.003328,0.686646
dwconv-bn-relu_lut_2OUPML.onnx,96,192,192,3,1,17.69472,0.00192,1.7745559999999998
dwconv-bn-relu_lut_NWMLKC.onnx,96,192,192,3,2,4.42368,0.00192,0.5197160000000001
dwconv-bn-relu_lut_S43QTJ.onnx,96,256,256,3,1,23.59296,0.00256,2.204034
dwconv-bn-relu_lut_NHX6KC.onnx,96,256,256,3,2,5.89824,0.00256,0.662322
dwconv-bn-relu_lut_04ATZD.onnx,96,192,192,5,1,46.006272,0.004992,3.580488
dwconv-bn-relu_lut_BIPICA.onnx,96,192,192,5,2,11.501568,0.004992,0.9512820000000001
dwconv-bn-relu_lut_QDOUCG.onnx,96,256,256,5,1,61.341696,0.006656,4.8552979999999994
dwconv-bn-relu_lut_7CPPD7.onnx,96,256,256,5,2,15.335424,0.006656,1.3331279999999999
dwconv-bn-relu_lut_YBI550.onnx,92,64,64,3,1,5.41696,0.00064,0.6743939999999999
dwconv-bn-relu_lut_4AUK2L.onnx,92,64,64,3,2,1.35424,0.00064,0.208936
dwconv-bn-relu_lut_KGX9MN.onnx,92,96,96,3,1,8.12544,0.00096,0.967614
dwconv-bn-relu_lut_OVGP6W.onnx,92,96,96,3,2,2.03136,0.00096,0.302724
dwconv-bn-relu_lut_9JPNCJ.onnx,92,128,128,3,1,10.83392,0.00128,1.168062
dwconv-bn-relu_lut_9R8GNB.onnx,92,128,128,3,2,2.70848,0.00128,0.34419999999999995
dwconv-bn-relu_lut_3RW0ZR.onnx,92,64,64,5,1,14.084096,0.001664,1.458802
dwconv-bn-relu_lut_Z73GXL.onnx,92,64,64,5,2,3.521024,0.001664,0.38852600000000004
dwconv-bn-relu_lut_CVKX5T.onnx,92,96,96,5,1,21.126144,0.002496,1.887426
dwconv-bn-relu_lut_RTE8QN.onnx,92,96,96,5,2,5.281536,0.002496,0.52254
dwconv-bn-relu_lut_UJ77LL.onnx,92,128,128,5,1,28.168192,0.003328,2.473046
dwconv-bn-relu_lut_8KY8LV.onnx,92,128,128,5,2,7.042048,0.003328,0.665374
dwconv-bn-relu_lut_4QABHZ.onnx,92,192,192,3,1,16.25088,0.00192,1.620022
dwconv-bn-relu_lut_71YD0F.onnx,92,192,192,3,2,4.06272,0.00192,0.520694
dwconv-bn-relu_lut_RQ4IYF.onnx,92,256,256,3,1,21.66784,0.00256,2.11812
dwconv-bn-relu_lut_GC1TR1.onnx,92,256,256,3,2,5.41696,0.00256,0.627316
dwconv-bn-relu_lut_65BE9G.onnx,92,192,192,5,1,42.252288,0.004992,3.511524
dwconv-bn-relu_lut_4O55ZZ.onnx,92,192,192,5,2,10.563072,0.004992,0.888112
dwconv-bn-relu_lut_HYIBSO.onnx,92,256,256,5,1,56.336384,0.006656,4.410462
dwconv-bn-relu_lut_8GTAYJ.onnx,92,256,256,5,2,14.084096,0.006656,1.190556
dwconv-bn-relu_lut_QGS54W.onnx,88,64,64,3,1,4.95616,0.00064,0.609002
dwconv-bn-relu_lut_CFY1NB.onnx,88,64,64,3,2,1.23904,0.00064,0.18904
dwconv-bn-relu_lut_2N2JUT.onnx,88,96,96,3,1,7.43424,0.00096,0.8495939999999998
dwconv-bn-relu_lut_1MQIYF.onnx,88,96,96,3,2,1.85856,0.00096,0.291406
dwconv-bn-relu_lut_U4UQ5D.onnx,88,128,128,3,1,9.91232,0.00128,1.018646
dwconv-bn-relu_lut_X2AO2Y.onnx,88,128,128,3,2,2.47808,0.00128,0.31439399999999995
dwconv-bn-relu_lut_UQIRIE.onnx,88,64,64,5,1,12.886016,0.001664,1.29101
dwconv-bn-relu_lut_LAKTN6.onnx,88,64,64,5,2,3.221504,0.001664,0.379452
dwconv-bn-relu_lut_5WNK31.onnx,88,96,96,5,1,19.329024,0.002496,1.814588
dwconv-bn-relu_lut_THRCBJ.onnx,88,96,96,5,2,4.832256,0.002496,0.541226
dwconv-bn-relu_lut_W2QJ86.onnx,88,128,128,5,1,25.772032,0.003328,2.1465259999999997
dwconv-bn-relu_lut_02ATZ7.onnx,88,128,128,5,2,6.443008,0.003328,0.5724180000000001
dwconv-bn-relu_lut_AV5DV8.onnx,88,192,192,3,1,14.86848,0.00192,1.495126
dwconv-bn-relu_lut_WS20V6.onnx,88,192,192,3,2,3.71712,0.00192,0.424104
dwconv-bn-relu_lut_264LYI.onnx,88,256,256,3,1,19.82464,0.00256,1.924824
dwconv-bn-relu_lut_E3WRW9.onnx,88,256,256,3,2,4.95616,0.00256,0.558926
dwconv-bn-relu_lut_1F2XL7.onnx,88,192,192,5,1,38.658048,0.004992,3.1380100000000004
dwconv-bn-relu_lut_G3H757.onnx,88,192,192,5,2,9.664512,0.004992,0.827006
dwconv-bn-relu_lut_5AMXWY.onnx,88,256,256,5,1,51.544064,0.006656,3.9065900000000005
dwconv-bn-relu_lut_AJ5X2X.onnx,88,256,256,5,2,12.886016,0.006656,1.1254
dwconv-bn-relu_lut_WL4VO6.onnx,84,64,64,3,1,4.51584,0.00064,0.55734
dwconv-bn-relu_lut_4C1ZNM.onnx,84,64,64,3,2,1.12896,0.00064,0.178438
dwconv-bn-relu_lut_QXPDTX.onnx,84,96,96,3,1,6.77376,0.00096,0.759382
dwconv-bn-relu_lut_8U8H08.onnx,84,96,96,3,2,1.69344,0.00096,0.239226
dwconv-bn-relu_lut_OVILIH.onnx,84,128,128,3,1,9.03168,0.00128,0.9538939999999999
dwconv-bn-relu_lut_JBWS2L.onnx,84,128,128,3,2,2.25792,0.00128,0.311422
dwconv-bn-relu_lut_LGJ9Q7.onnx,84,64,64,5,1,11.741184,0.001664,1.153148
dwconv-bn-relu_lut_KK054Q.onnx,84,64,64,5,2,2.935296,0.001664,0.355148
dwconv-bn-relu_lut_15TJ5I.onnx,84,96,96,5,1,17.611776,0.002496,1.6125040000000002
dwconv-bn-relu_lut_W6Q3U8.onnx,84,96,96,5,2,4.402944,0.002496,0.48892800000000003
dwconv-bn-relu_lut_K4PNZG.onnx,84,128,128,5,1,23.482368,0.003328,1.9977939999999998
dwconv-bn-relu_lut_LQTRKB.onnx,84,128,128,5,2,5.870592,0.003328,0.5550660000000001
dwconv-bn-relu_lut_K5LVQ2.onnx,84,192,192,3,1,13.54752,0.00192,1.273902
dwconv-bn-relu_lut_U9PU86.onnx,84,192,192,3,2,3.38688,0.00192,0.355918
dwconv-bn-relu_lut_OCBWPP.onnx,84,256,256,3,1,18.06336,0.00256,1.8241139999999998
dwconv-bn-relu_lut_LDLIYS.onnx,84,256,256,3,2,4.51584,0.00256,0.551698
dwconv-bn-relu_lut_9NOI8R.onnx,84,192,192,5,1,35.223552,0.004992,2.861708
dwconv-bn-relu_lut_YVSX2G.onnx,84,192,192,5,2,8.805888,0.004992,0.7667440000000001
dwconv-bn-relu_lut_K7Y2VB.onnx,84,256,256,5,1,46.964736,0.006656,3.802318
dwconv-bn-relu_lut_XMYTL9.onnx,84,256,256,5,2,11.741184,0.006656,1.1188699999999998
dwconv-bn-relu_lut_V9QEK8.onnx,80,64,64,3,1,4.096,0.00064,0.520656
