model_path,HW,CIN,COUT,KERNEL_SIZE,STRIDES,feature_0,feature_1,latency
conv-bn-relu_lut_WPT4ZI.onnx,7,1920,224,1,1,21.084896,0.430304,0.233766
conv-bn-relu_lut_SE8P8U.onnx,14,960,240,1,1,45.20544,0.23064,0.46043
conv-bn-relu_lut_U8DYTL.onnx,7,960,240,1,1,11.30136,0.23064,0.145414
conv-bn-relu_lut_3XV8GJ.onnx,14,1440,240,1,1,67.78464,0.34584,0.607782
conv-bn-relu_lut_WHNEA2.onnx,7,1440,240,1,1,16.94616,0.34584,0.195882
conv-bn-relu_lut_IGXS2G.onnx,14,1920,240,1,1,90.36384,0.46104,0.793156
conv-bn-relu_lut_WCAS69.onnx,7,1920,240,1,1,22.59096,0.46104,0.24899
conv-bn-relu_lut_A27OB3.onnx,14,960,256,1,1,48.219136,0.246016,0.44879199999999997
conv-bn-relu_lut_6YF8OW.onnx,7,960,256,1,1,12.054784,0.246016,0.15368199999999999
conv-bn-relu_lut_1NNRCQ.onnx,14,1440,256,1,1,72.303616,0.368896,0.6506399999999999
conv-bn-relu_lut_NH5VUG.onnx,7,1440,256,1,1,18.075904,0.368896,0.20944400000000002
conv-bn-relu_lut_D0QEC3.onnx,14,1920,256,1,1,96.388096,0.491776,0.84017
conv-bn-relu_lut_GCNCPO.onnx,7,1920,256,1,1,24.097024,0.491776,0.311782
conv-bn-relu_lut_XFTTJQ.onnx,14,256,1024,1,1,51.580928,0.263168,0.52481
conv-bn-relu_lut_EPMPL0.onnx,14,256,1536,1,1,77.371392,0.394752,0.815448
conv-bn-relu_lut_E31TFC.onnx,14,256,2048,1,1,103.161856,0.526336,1.044476
conv-bn-relu_lut_YKKEPJ.onnx,14,2048,192,1,1,77.107968,0.393408,0.732266
conv-bn-relu_lut_6HM7PH.onnx,7,2048,192,1,1,19.276992,0.393408,0.232494
conv-bn-relu_lut_SJ437O.onnx,14,2048,208,1,1,83.533632,0.426192,0.786696
conv-bn-relu_lut_06CIF3.onnx,7,2048,208,1,1,20.883408,0.426192,0.248558
conv-bn-relu_lut_ZD2X4G.onnx,14,2048,224,1,1,89.959296,0.458976,0.834318
conv-bn-relu_lut_16JULY.onnx,7,2048,224,1,1,22.489824,0.458976,0.26441400000000004
conv-bn-relu_lut_JJV15X.onnx,14,2048,240,1,1,96.38496,0.49176,0.896082
conv-bn-relu_lut_5VSG1B.onnx,7,2048,240,1,1,24.09624,0.49176,0.280872
conv-bn-relu_lut_A3J98B.onnx,14,2048,256,1,1,102.810624,0.524544,0.89226
conv-bn-relu_lut_R7M2O1.onnx,7,2048,256,1,1,25.702656,0.524544,0.28820599999999996
conv-bn-relu_lut_MFAWQ0.onnx,13,512,192,1,1,16.645824,0.098496,0.18846
conv-bn-relu_lut_C1XHAW.onnx,6,512,192,1,1,3.545856,0.098496,0.07399599999999999
conv-bn-relu_lut_PDPLCD.onnx,13,768,192,1,1,24.952512,0.147648,0.26138000000000006
conv-bn-relu_lut_HKJAVC.onnx,6,768,192,1,1,5.315328,0.147648,0.08852600000000002
conv-bn-relu_lut_UJW6SF.onnx,13,1024,192,1,1,33.2592,0.1968,0.33403599999999994
conv-bn-relu_lut_8VEU6V.onnx,6,1024,192,1,1,7.0848,0.1968,0.10474800000000001
conv-bn-relu_lut_66D2BU.onnx,13,512,208,1,1,18.032976,0.106704,0.208778
conv-bn-relu_lut_14Q8BZ.onnx,6,512,208,1,1,3.841344,0.106704,0.078988
conv-bn-relu_lut_9VFBN4.onnx,13,768,208,1,1,27.031888,0.159952,0.28379600000000005
conv-bn-relu_lut_R2U8GF.onnx,6,768,208,1,1,5.758272,0.159952,0.094108
conv-bn-relu_lut_KS5OC9.onnx,13,1024,208,1,1,36.0308,0.2132,0.35365800000000003
conv-bn-relu_lut_SZWMWJ.onnx,6,1024,208,1,1,7.6752,0.2132,0.10850599999999999
conv-bn-relu_lut_IY6LZ0.onnx,13,512,224,1,1,19.420128,0.114912,0.21385
conv-bn-relu_lut_UK7J16.onnx,6,512,224,1,1,4.136832,0.114912,0.08032600000000001
